Intrinsic,LLC_W_R,LLC_C,,
mve_init_dims,0,0,,
mve_flusher,0,0,,
_mve_set_load_stride,0,0,,
_mve_set_store_stride,0,0,,
_mve_set_dim_count,0,0,,
_mve_set_dim_length,0,0,,
_mve_set_mask,0,0,,
_mve_set_active_element,0,0,,
_mve_unset_active_element,0,0,,
_mve_set_only_element,0,0,,
_mve_unset_only_element,0,0,,
_mve_set_all_elements,0,0,,
_mve_unset_all_elements,0,0,,
_mve_shirs_b,2,0,,
_mve_shirs_w,2,0,,
_mve_shirs_dw,2,0,,
_mve_shirs_qw,2,0,,
_mve_shiru_b,2,0,,
_mve_shiru_w,2,0,,
_mve_shiru_dw,2,0,,
_mve_shiru_qw,2,0,,
_mve_shil_b,2,0,,
_mve_shil_w,2,0,,
_mve_shil_dw,2,0,,
_mve_shil_qw,2,0,,
_mve_set1_b,1,0,,
_mve_set1_w,1,0,,
_mve_set1_dw,1,0,,
_mve_set1_qw,1,0,,
_mve_load_b,1,0,,
_mve_load_w,1,0,,
_mve_load_dw,1,0,,
_mve_load_qw,1,0,,
_mve_store_b,1,0,,
_mve_store_w,1,0,,
_mve_store_dw,1,0,,
_mve_store_qw,1,0,,
_mve_loadr_b,1,0,,
_mve_loadr_w,1,0,,
_mve_loadr_dw,1,0,,
_mve_loadr_qw,1,0,,
_mve_storer_b,1,0,,
_mve_storer_w,1,0,,
_mve_storer_dw,1,0,,
_mve_storer_qw,1,0,,
_mve_add_b,0,66,8n +2,8
_mve_add_w,0,130,,16
_mve_add_dw,0,258,,32
_mve_add_qw,0,514,,64
_mve_sub_b,0,66,8n +2,8
_mve_sub_w,0,130,,16
_mve_sub_dw,0,258,,32
_mve_sub_qw,0,514,,64
_mve_mul_b,0,288,4n2 ? 4n,8
_mve_mul_w,0,1088,,16
_mve_mul_dw,0,4224,,32
_mve_mul_qw,0,16640,,64
_mve_min_b,2,30,3n +6,8
_mve_min_w,2,54,,16
_mve_min_dw,2,102,,32
_mve_min_qw,2,198,,64
_mve_max_b,2,30,,8
_mve_max_w,2,54,,16
_mve_max_dw,2,102,,32
_mve_max_qw,2,198,,64
_mve_xor_b,0,4,,
_mve_xor_w,0,4,,
_mve_xor_dw,0,4,,
_mve_xor_qw,0,4,,
_mve_and_b,0,3,,
_mve_and_w,0,3,,
_mve_and_dw,0,3,,
_mve_and_qw,0,3,,
_mve_or_b,0,3,,
_mve_or_w,0,3,,
_mve_or_dw,0,3,,
_mve_or_qw,0,3,,
_mve_cmpeq_b,0,12,n +4,8
_mve_cmpeq_w,0,20,,16
_mve_cmpeq_dw,0,36,,32
_mve_cmpeq_qw,0,68,,64
_mve_cmpneq_b,0,12,,8
_mve_cmpneq_w,0,20,,16
_mve_cmpneq_dw,0,36,,32
_mve_cmpneq_qw,0,68,,64
_mve_cmpgte_b,0,30,3n +6,8
_mve_cmpgte_w,0,54,,16
_mve_cmpgte_dw,0,102,,32
_mve_cmpgte_qw,0,198,,64
_mve_cmpgt_b,0,30,,8
_mve_cmpgt_w,0,54,,16
_mve_cmpgt_dw,0,102,,32
_mve_cmpgt_qw,0,198,,64
_mve_cvt_wtob,0,0,,
_mve_cvt_dwtow,0,0,,
_mve_cvt_dwtob,0,0,,
_mve_cvtu_btow,1,0,,
_mve_cvts_btow,2,0,,
_mve_cvtu_btodw,1,0,,
_mve_cvts_btodw,2,0,,
_mve_cvtu_wtodw,1,0,,
_mve_cvts_wtodw,2,0,,
_mve_cvtu_dwtoqw,1,0,,
_mve_cvts_dwtoqw,2,0,,
_mve_assign_b,4,0,4,
_mve_assign_w,4,0,,
_mve_assign_dw,4,0,,
_mve_assign_qw,4,0,,
_mve_free_b,0,0,,
_mve_free_w,0,0,,
_mve_free_dw,0,0,,
_mve_free_qw,0,0,,
_mve_copy_b,2,0,,
_mve_copy_w,2,0,,
_mve_copy_dw,2,0,,
_mve_copy_qw,2,0,,
_mve_redsum_b,0,13,N+5,8
_mve_redsum_w,0,21,,16
_mve_redsum_dw,0,37,,32
_mve_redsum_qw,0,69,,64
